Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades
2019-08-21,196.55,197.2,179.53,187.45,284973.64194,2019-08-21 23:59:59.999000064,53434048.9529292,150215
2019-08-22,187.45,195.14,182.8,190.35,245575.98772,2019-08-22 23:59:59.999000064,46426395.0486722,160105
2019-08-23,190.36,196.19,188.16,194.02,192548.51552,2019-08-23 23:59:59.999000064,37022930.5704567,128090
2019-08-24,194.02,194.09,185.63,190.6,167806.34294,2019-08-24 23:59:59.999000064,31786227.8626633,104191
2019-08-25,190.6,192.4,182.8,186.54,169862.91522,2019-08-25 23:59:59.999000064,31935951.290364,103115
2019-08-26,186.54,193.7,186.0,188.67,254397.79472,2019-08-26 23:59:59.999000064,48298621.3154217,130551
2019-08-27,188.61,189.49,184.75,187.24,157898.563,2019-08-27 23:59:59.999000064,29513243.50055,96138
2019-08-28,187.3,188.25,166.48,173.03,334480.61761,2019-08-28 23:59:59.999000064,59498959.9665215,146334
2019-08-29,173.03,173.5,163.61,169.01,295241.216,2019-08-29 23:59:59.999000064,49838097.1661885,142645
2019-08-30,169.03,170.77,165.55,168.5,238616.68868,2019-08-30 23:59:59.999000064,40216956.5994906,114316
2019-08-31,168.48,174.98,165.63,171.57,194999.19583,2019-08-31 23:59:59.999000064,32983642.8432588,101425
2019-09-01,171.52,173.42,167.61,170.74,191140.52368,2019-09-01 23:59:59.999000064,32627380.9318131,93036
2019-09-02,170.73,181.0,170.02,178.05,294627.31247,2019-09-02 23:59:59.999000064,51446380.4485707,116596
2019-09-03,178.0,183.0,174.09,178.75,327857.85447,2019-09-03 23:59:59.999000064,58621819.3554533,147758
2019-09-04,178.79,180.14,173.0,174.72,286226.25171,2019-09-04 23:59:59.999000064,50629395.4918831,140298
2019-09-05,174.7,176.19,168.1,173.75,232753.83596,2019-09-05 23:59:59.999000064,40247496.5629039,123424
2019-09-06,173.74,177.87,165.0,169.08,315822.37984,2019-09-06 23:59:59.999000064,54567316.6059573,146974
2019-09-07,169.11,180.8,168.3,177.62,253831.23169,2019-09-07 23:59:59.999000064,44282963.3065402,134155
2019-09-08,177.58,184.18,176.13,181.19,290083.47501,2019-09-08 23:59:59.999000064,52424648.7184664,143793
2019-09-09,181.18,185.38,176.01,180.54,273729.94868,2019-09-09 23:59:59.999000064,49340881.2345897,140362
2019-09-10,180.52,184.36,177.0,179.81,238387.50999,2019-09-10 23:59:59.999000064,43067898.9051214,116866
2019-09-11,179.87,182.8,173.0,178.28,278555.46708,2019-09-11 23:59:59.999000064,49657474.9751696,130317
2019-09-12,178.3,182.38,176.62,180.72,203543.13663,2019-09-12 23:59:59.999000064,36419973.2297372,102872
2019-09-13,180.71,181.38,177.54,180.95,264422.54059,2019-09-13 23:59:59.999000064,47382425.1919217,109752
2019-09-14,180.96,188.79,179.75,188.13,279371.83423,2019-09-14 23:59:59.999000064,51424561.3917001,113052
2019-09-15,188.14,190.45,185.76,189.03,288928.60827,2019-09-15 23:59:59.999000064,54373471.3852245,106052
2019-09-16,189.05,199.44,188.3,197.22,551006.81686,2019-09-16 23:59:59.999000064,106449156.0300247,166031
2019-09-17,197.23,215.13,195.74,207.84,715863.2262,2019-09-17 23:59:59.999000064,145945114.8695818,214041
2019-09-18,207.85,217.27,207.66,210.21,539028.51013,2019-09-18 23:59:59.999000064,114703107.2717186,182943
2019-09-19,210.27,223.94,202.3,220.24,844358.82155,2019-09-19 23:59:59.999000064,179595728.8138375,230867
2019-09-20,220.26,221.54,212.05,218.03,437804.12669,2019-09-20 23:59:59.999000064,95069640.6241525,133129
2019-09-21,218.01,221.5,213.2,215.05,417891.5242,2019-09-21 23:59:59.999000064,90638548.2352924,105391
2019-09-22,215.04,215.61,206.1,211.2,445388.94787,2019-09-22 23:59:59.999000064,93662351.5045333,108397
2019-09-23,211.2,211.68,198.65,201.29,392437.07084,2019-09-23 23:59:59.999000064,80922890.4608859,121866
2019-09-24,201.25,202.98,150.03,165.81,1478218.82714,2019-09-24 23:59:59.999000064,263412071.5312026,383778
2019-09-25,165.72,174.85,161.88,169.96,879001.46213,2019-09-25 23:59:59.999000064,147619414.1358966,251456
2019-09-26,169.96,171.01,152.11,165.92,779942.17148,2019-09-26 23:59:59.999000064,127948136.2708905,202020
2019-09-27,165.92,176.72,161.03,173.79,634932.96707,2019-09-27 23:59:59.999000064,106461443.899721,183611
2019-09-28,173.83,175.49,168.0,173.49,521775.46593,2019-09-28 23:59:59.999000064,90120971.1669136,159337
2019-09-29,173.5,174.5,164.12,169.24,410855.12176,2019-09-29 23:59:59.999000064,69327213.6474489,136438
2019-09-30,169.26,181.24,165.01,180.85,580295.3997,2019-09-30 23:59:59.999000064,100443187.7716862,175354
2019-10-01,180.89,185.53,173.19,175.66,609972.52717,2019-10-01 23:59:59.999000064,109365005.3617921,168529
2019-10-02,175.65,181.29,173.65,180.24,348268.1162,2019-10-02 23:59:59.999000064,61530973.8042317,96660
2019-10-03,180.24,180.72,169.55,174.69,354756.78478,2019-10-03 23:59:59.999000064,62001237.4817829,101114
2019-10-04,174.71,178.98,170.74,175.55,333897.63876,2019-10-04 23:59:59.999000064,58470302.1445434,89655
2019-10-05,175.55,176.71,172.02,176.25,278488.61771,2019-10-05 23:59:59.999000064,48647162.438982,90341
2019-10-06,176.23,177.04,167.68,170.1,314932.39629,2019-10-06 23:59:59.999000064,54241930.1254795,114662
2019-10-07,170.08,182.32,168.68,179.85,496523.48038,2019-10-07 23:59:59.999000064,87617964.5675863,159802
2019-10-08,179.88,184.87,177.0,180.6,400832.37828,2019-10-08 23:59:59.999000064,72432729.9845929,139925
2019-10-09,180.61,195.53,178.96,192.62,562506.82189,2019-10-09 23:59:59.999000064,105551736.4844096,182290
2019-10-10,192.61,194.2,186.88,191.14,436588.58452,2019-10-10 23:59:59.999000064,83367952.3933486,150166
2019-10-11,191.18,196.65,179.41,180.72,621693.63125,2019-10-11 23:59:59.999000064,115872479.7661273,181427
2019-10-12,180.65,184.64,177.59,179.68,290415.22038,2019-10-12 23:59:59.999000064,52895345.3826257,118775
2019-10-13,179.65,184.95,178.52,180.99,247589.23231,2019-10-13 23:59:59.999000064,45067340.4221513,113448
2019-10-14,180.98,187.54,180.43,186.72,279732.84612,2019-10-14 23:59:59.999000064,51494870.2773636,123915
2019-10-15,186.7,188.37,175.96,180.49,405466.38109,2019-10-15 23:59:59.999000064,73998014.4472151,155734
2019-10-16,180.52,181.44,171.81,174.47,347764.93459,2019-10-16 23:59:59.999000064,61180262.7759032,151051
2019-10-17,174.52,178.96,172.61,177.16,298795.8198,2019-10-17 23:59:59.999000064,52578052.9440327,133295
2019-10-18,177.17,177.44,168.66,172.74,319602.48508,2019-10-18 23:59:59.999000064,55285684.61343,139612
2019-10-19,172.78,174.98,169.44,171.79,296918.73026,2019-10-19 23:59:59.999000064,51269466.0425387,127763
2019-10-20,171.84,176.88,169.21,175.22,299141.07152,2019-10-20 23:59:59.999000064,51654250.0652548,125469
2019-10-21,175.18,177.9,171.59,173.98,270608.51385,2019-10-21 23:59:59.999000064,47204344.2406268,128045
2019-10-22,174.0,175.04,170.3,171.2,255429.41624,2019-10-22 23:59:59.999000064,44176123.2085981,123180
2019-10-23,171.19,171.49,153.45,162.35,746955.09806,2019-10-23 23:59:59.999000064,121126428.2285973,238790
2019-10-24,162.35,163.72,158.72,160.38,387310.83766,2019-10-24 23:59:59.999000064,62419095.1068171,159778
2019-10-25,160.39,187.78,160.25,181.5,904832.86059,2019-10-25 23:59:59.999000064,157496890.7226022,267143
2019-10-26,181.53,197.74,173.8,179.49,1211737.43684,2019-10-26 23:59:59.999000064,222906937.7909978,373782
2019-10-27,179.42,188.7,176.22,183.75,724423.40525,2019-10-27 23:59:59.999000064,132329593.3936198,262415
2019-10-28,183.84,189.48,180.35,181.72,582179.44545,2019-10-28 23:59:59.999000064,106933716.670613,225343
2019-10-29,181.67,192.74,181.26,190.46,529964.5054,2019-10-29 23:59:59.999000064,99024969.8434844,212841
2019-10-30,190.45,191.71,179.28,183.13,537770.43056,2019-10-30 23:59:59.999000064,99508269.890319,194946
2019-10-31,183.14,185.27,177.66,182.18,410969.86104,2019-10-31 23:59:59.999000064,74696032.7315675,167038
2019-11-01,182.19,184.5,177.02,182.85,331519.76963,2019-11-01 23:59:59.999000064,60092727.1391759,154534
2019-11-02,182.86,186.0,181.53,182.91,179864.39739,2019-11-02 23:59:59.999000064,32936676.7082053,107048
2019-11-03,182.9,184.7,178.95,181.54,232621.52147,2019-11-03 23:59:59.999000064,42260620.3770286,109861
2019-11-04,181.53,188.64,180.36,185.71,321175.29134,2019-11-04 23:59:59.999000064,59357371.3141338,147624
2019-11-05,185.71,192.51,182.22,188.68,389668.6472,2019-11-05 23:59:59.999000064,73036074.7809727,184562
2019-11-06,188.65,195.09,187.72,191.16,343219.9224,2019-11-06 23:59:59.999000064,65471595.2070074,160110
2019-11-07,191.16,192.27,184.59,186.68,309882.08206,2019-11-07 23:59:59.999000064,58150631.2768295,152881
2019-11-08,186.67,188.26,181.41,183.74,365029.75027,2019-11-08 23:59:59.999000064,67305417.4050575,167904
2019-11-09,183.71,185.79,182.63,184.89,192073.38044,2019-11-09 23:59:59.999000064,35441967.7656995,112521
2019-11-10,184.86,191.58,183.3,188.96,274940.53448,2019-11-10 23:59:59.999000064,51648623.2863399,133008
2019-11-11,188.96,190.19,184.06,184.98,255579.93429,2019-11-11 23:59:59.999000064,47746876.4565624,128079
2019-11-12,184.98,187.65,182.41,187.09,256782.63119,2019-11-12 23:59:59.999000064,47636043.3528847,124488
2019-11-13,187.09,189.66,185.3,188.11,197273.84001,2019-11-13 23:59:59.999000064,36936429.9359435,89631
2019-11-14,188.07,188.72,183.34,184.92,245505.29971,2019-11-14 23:59:59.999000064,45523714.0985551,114266
2019-11-15,184.93,186.7,177.67,180.0,407466.78964,2019-11-15 23:59:59.999000064,74217250.1727187,156868
2019-11-16,179.99,183.46,179.3,182.37,172801.52576,2019-11-16 23:59:59.999000064,31378510.0153897,89596
2019-11-17,182.37,186.09,180.0,183.82,198892.4372,2019-11-17 23:59:59.999000064,36509968.6991013,93753
2019-11-18,183.82,184.06,175.01,178.2,293551.23632,2019-11-18 23:59:59.999000064,52985734.2807839,131823
2019-11-19,178.2,178.52,172.65,175.94,275886.6411,2019-11-19 23:59:59.999000064,48414106.9569336,125824
2019-11-20,175.93,177.41,173.5,174.72,216315.93309,2019-11-20 23:59:59.999000064,38001672.1930986,106534
2019-11-21,174.75,175.85,157.26,161.01,473895.92992,2019-11-21 23:59:59.999000064,78641896.2303806,178521
2019-11-22,161.02,162.79,138.0,149.56,977977.23794,2019-11-22 23:59:59.999000064,147595324.5643929,324167
2019-11-23,149.55,154.33,146.11,151.84,369721.0996,2019-11-23 23:59:59.999000064,55595157.5640424,177816
2019-11-24,151.84,152.86,138.62,139.96,352319.21558,2019-11-24 23:59:59.999000064,51503705.1777392,158774
2019-11-25,139.99,151.5,131.45,145.69,749675.41303,2019-11-25 23:59:59.999000064,106186791.3371651,238649
2019-11-26,145.81,149.97,143.37,147.47,354023.04298,2019-11-26 23:59:59.999000064,51873405.0392909,132207
2019-11-27,147.47,155.54,140.84,152.62,564796.4284,2019-11-27 23:59:59.999000064,83505998.0548896,192325
2019-11-28,152.61,154.63,149.09,150.72,317714.56326,2019-11-28 23:59:59.999000064,48324220.6205619,124573
2019-11-29,150.69,157.6,150.23,154.57,328712.25558,2019-11-29 23:59:59.999000064,50649319.1209473,129774
2019-11-30,154.54,155.25,149.7,151.37,226863.41299,2019-11-30 23:59:59.999000064,34617912.1786886,96632
2019-12-01,151.43,152.49,145.79,150.73,344178.14088,2019-12-01 23:59:59.999000064,51148792.0829982,125550
2019-12-02,150.72,151.42,146.71,148.65,233839.0973,2019-12-02 23:59:59.999000064,34768563.4718647,107070
2019-12-03,148.66,149.93,145.77,147.17,196329.22503,2019-12-03 23:59:59.999000064,29061161.1017757,87660
2019-12-04,147.19,151.98,143.15,145.38,434490.46521,2019-12-04 23:59:59.999000064,63849308.2935722,149685
2019-12-05,145.45,149.02,143.64,148.1,299073.53972,2019-12-05 23:59:59.999000064,43777241.5908236,111694
2019-12-06,148.11,149.77,145.74,148.45,220674.68581,2019-12-06 23:59:59.999000064,32549526.3995979,90076
2019-12-07,148.46,149.49,146.85,147.14,140471.68588,2019-12-07 23:59:59.999000064,20799551.3456956,70677
2019-12-08,147.16,151.62,146.11,150.44,205301.6026,2019-12-08 23:59:59.999000064,30606289.2853915,79766
2019-12-09,150.44,151.19,146.56,147.38,243775.99249,2019-12-09 23:59:59.999000064,36345702.3480885,92204
2019-12-10,147.4,148.57,143.81,145.56,203215.84937,2019-12-10 23:59:59.999000064,29746845.4324287,85725
2019-12-11,145.53,146.34,142.12,143.39,157843.10484,2019-12-11 23:59:59.999000064,22772651.1681289,69834
2019-12-12,143.41,145.85,139.24,144.87,261615.30437,2019-12-12 23:59:59.999000064,37425277.0381235,99231
2019-12-13,144.87,146.0,142.8,144.8,160695.18556,2019-12-13 23:59:59.999000064,23203419.9616187,90805
2019-12-14,144.8,145.07,141.18,141.79,126232.59201,2019-12-14 23:59:59.999000064,18027581.3595459,76951
2019-12-15,141.79,144.12,139.92,142.46,151189.65877,2019-12-15 23:59:59.999000064,21495196.818885,77131
2019-12-16,142.46,142.72,127.93,132.73,471018.85942,2019-12-16 23:59:59.999000064,63632055.5849407,153717
2019-12-17,132.72,132.98,119.11,121.88,563257.36001,2019-12-17 23:59:59.999000064,71709329.2689193,178977
2019-12-18,121.88,134.87,116.26,132.78,884960.91334,2019-12-18 23:59:59.999000064,110566290.5693325,252627
2019-12-19,132.8,134.0,125.69,128.1,420674.8172,2019-12-19 23:59:59.999000064,53766864.1851899,154222
2019-12-20,128.1,129.39,125.84,128.19,213897.4673,2019-12-20 23:59:59.999000064,27266605.4848642,90922
2019-12-21,128.19,128.4,126.5,126.99,135196.11641,2019-12-21 23:59:59.999000064,17199278.7946842,64847
2019-12-22,127.0,133.07,126.82,132.09,253140.72413,2019-12-22 23:59:59.999000064,32938501.021757,91028
2019-12-23,132.12,135.1,126.0,127.8,421600.75655,2019-12-23 23:59:59.999000064,55501305.920123,145867
2019-12-24,127.8,129.69,126.61,127.75,200637.10098,2019-12-24 23:59:59.999000064,25667665.1420103,87657
2019-12-25,127.7,127.84,123.07,125.09,225004.4909,2019-12-25 23:59:59.999000064,28144469.160729,93397
2019-12-26,125.09,132.26,124.32,125.58,274986.52097,2019-12-26 23:59:59.999000064,34943780.9092039,103034
2019-12-27,125.58,127.1,121.91,126.29,240012.37451,2019-12-27 23:59:59.999000064,30020098.8891311,102142
2019-12-28,126.28,129.68,125.84,128.11,196893.52277,2019-12-28 23:59:59.999000064,25177121.1470641,82441
2019-12-29,128.11,138.07,127.52,134.36,316347.26666,2019-12-29 23:59:59.999000064,41893078.3622121,115498
2019-12-30,134.36,136.24,130.3,131.59,320347.21956,2019-12-30 23:59:59.999000064,42636559.3824152,101293
2019-12-31,131.61,133.68,128.17,129.16,264933.98418,2019-12-31 23:59:59.999000064,34678632.1795937,95085
2020-01-01,129.16,133.05,128.68,130.77,144770.52197,2020-01-01 23:59:59.999000064,18952318.5320643,75888
