Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades
2020-07-24,0.5388,0.778,0.5388,0.6133,2205559.84,2020-07-24 23:59:59.999000064,1499323.210456,6981
2020-07-25,0.6132,0.7,0.523,0.5323,1195294.37,2020-07-25 23:59:59.999000064,756835.51006,4000
2020-07-26,0.5325,0.65,0.481,0.499,1313187.26,2020-07-26 23:59:59.999000064,763562.30036,3590
2020-07-27,0.5059,0.5226,0.3908,0.4308,1901700.92,2020-07-27 23:59:59.999000064,864124.805073,5179
2020-07-28,0.4308,0.5722,0.4261,0.493,1010111.2,2020-07-28 23:59:59.999000064,511686.029448,2677
2020-07-29,0.4953,0.604,0.4637,0.5048,1070854.54,2020-07-29 23:59:59.999000064,564429.079058,2693
2020-07-30,0.502,0.5852,0.489,0.489,610287.15,2020-07-30 23:59:59.999000064,320322.796877,1499
2020-07-31,0.489,0.5147,0.44,0.4607,686424.3,2020-07-31 23:59:59.999000064,330297.591931,1821
2020-08-01,0.4605,0.4992,0.44,0.445,373179.34,2020-08-01 23:59:59.999000064,174937.059482,1415
2020-08-02,0.4437,0.55,0.39,0.4771,582796.8,2020-08-02 23:59:59.999000064,266714.584249,1382
2020-08-03,0.476,0.5072,0.445,0.4576,437506.71,2020-08-03 23:59:59.999000064,206688.516856,1258
2020-08-04,0.4582,0.5165,0.4392,0.5019,536927.1,2020-08-04 23:59:59.999000064,256899.791028,1126
2020-08-05,0.5043,0.6314,0.46,0.5599,847421.63,2020-08-05 23:59:59.999000064,477055.722192,3560
2020-08-06,0.5599,0.614,0.5118,0.5827,515816.16,2020-08-06 23:59:59.999000064,295402.779455,2218
2020-08-07,0.5827,0.6365,0.5686,0.5862,330768.94,2020-08-07 23:59:59.999000064,196404.528226,1492
2020-08-08,0.584,0.7,0.5815,0.662,678212.63,2020-08-08 23:59:59.999000064,449267.782931,2907
2020-08-09,0.6588,0.8063,0.6277,0.7684,982887.2,2020-08-09 23:59:59.999000064,688619.598284,3560
2020-08-10,0.7825,0.95,0.71,0.7925,998818.58,2020-08-10 23:59:59.999000064,822484.663993,5230
2020-08-11,0.7947,0.82,0.69,0.7637,817690.3,2020-08-11 23:59:59.999000064,616073.324745,3528
2020-08-12,0.7637,0.9604,0.7101,0.8987,805884.5,2020-08-12 23:59:59.999000064,651405.813787,2763
2020-08-13,0.8929,0.9399,0.78,0.8271,616099.56,2020-08-13 23:59:59.999000064,528423.872196,2160
2020-08-14,0.84,1.02,0.805,0.96,942135.91,2020-08-14 23:59:59.999000064,877563.332464,3503
2020-08-15,0.9624,1.05,0.861,0.8771,669087.72,2020-08-15 23:59:59.999000064,629160.449905,2841
2020-08-16,0.8906,0.9708,0.835,0.9443,304545.38,2020-08-16 23:59:59.999000064,280717.550028,1572
2020-08-17,0.9397,1.0,0.85,0.8632,662142.22,2020-08-17 23:59:59.999000064,604987.374323,2624
2020-08-18,0.8676,0.9715,0.812,0.8359,594070.77,2020-08-18 23:59:59.999000064,516787.571783,1919
2020-08-19,0.836,0.8877,0.734,0.7924,559784.35,2020-08-19 23:59:59.999000064,440480.171373,1825
2020-08-20,0.7987,0.9288,0.7649,0.9029,367586.06,2020-08-20 23:59:59.999000064,311053.972594,1125
2020-08-21,0.899,0.955,0.75,0.7736,612819.96,2020-08-21 23:59:59.999000064,533209.319117,1729
2020-08-22,0.7899,0.8599,0.7414,0.8412,524702.23,2020-08-22 23:59:59.999000064,418919.010954,1291
2020-08-23,0.8371,0.8599,0.754,0.8117,214478.12,2020-08-23 23:59:59.999000064,175474.326255,720
2020-08-24,0.8016,0.9236,0.8,0.8702,542850.59,2020-08-24 23:59:59.999000064,474172.893651,1751
2020-08-25,0.8715,0.9157,0.79,0.837,510349.88,2020-08-25 23:59:59.999000064,428063.073233,1436
2020-08-26,0.8303,0.9455,0.8249,0.849,580500.33,2020-08-26 23:59:59.999000064,514346.408552,1768
2020-08-27,0.8446,0.9599,0.8016,0.9334,934480.23,2020-08-27 23:59:59.999000064,806734.382641,2016
2020-08-28,0.9097,0.9849,0.847,0.878,457758.84,2020-08-28 23:59:59.999000064,413645.312729,1579
2020-08-29,0.874,0.9492,0.85,0.9412,304803.29,2020-08-29 23:59:59.999000064,271404.800919,869
2020-08-30,0.9418,1.199,0.9276,1.086,1007351.05,2020-08-30 23:59:59.999000064,1086295.719992,3155
2020-08-31,1.1027,1.1028,0.981,1.037,710492.04,2020-08-31 23:59:59.999000064,728714.663244,2295
2020-09-01,1.025,1.17,0.99,0.995,1105999.15,2020-09-01 23:59:59.999000064,1180925.221778,3930
2020-09-02,0.9932,1.13,0.88,0.9239,1221052.51,2020-09-02 23:59:59.999000064,1186267.587016,3724
2020-09-03,0.9238,1.05,0.6,0.7517,1454804.44,2020-09-03 23:59:59.999000064,1310259.253329,3973
2020-09-04,0.7517,0.971,0.6591,0.8089,1145515.14,2020-09-04 23:59:59.999000064,878944.452151,3427
2020-09-05,0.815,0.85,0.55,0.6145,396201.35,2020-09-05 23:59:59.999000064,267309.668903,1434
2020-09-06,0.6421,0.8295,0.49,0.7766,374944.43,2020-09-06 23:59:59.999000064,260833.917893,1498
2020-09-07,0.7766,0.8158,0.625,0.721,266517.44,2020-09-07 23:59:59.999000064,186270.453748,1059
2020-09-08,0.72,0.76,0.65,0.6915,305766.91,2020-09-08 23:59:59.999000064,212448.849317,919
2020-09-09,0.7033,0.7783,0.6535,0.7243,215636.58,2020-09-09 23:59:59.999000064,154515.116081,878
2020-09-10,0.7244,0.7992,0.6852,0.7258,213339.56,2020-09-10 23:59:59.999000064,157945.694482,816
2020-09-11,0.7215,0.7602,0.666,0.7422,131193.45,2020-09-11 23:59:59.999000064,93987.031228,485
2020-09-12,0.736,0.8,0.7073,0.7671,96010.67,2020-09-12 23:59:59.999000064,70939.731374,311
2020-09-13,0.7966,0.8076,0.6551,0.71,150558.97,2020-09-13 23:59:59.999000064,107543.120046,708
2020-09-14,0.6995,0.6995,0.6326,0.6326,107465.23,2020-09-14 23:59:59.999000064,70793.945257,429
2020-09-15,0.6486,0.6535,0.5277,0.5807,258270.27,2020-09-15 23:59:59.999000064,155718.090917,893
2020-09-16,0.5807,0.625,0.5407,0.5853,204953.2,2020-09-16 23:59:59.999000064,119252.310843,610
2020-09-17,0.5814,0.6097,0.4652,0.515,444100.95,2020-09-17 23:59:59.999000064,224502.662914,997
2020-09-18,0.515,0.55,0.5022,0.511,127543.87,2020-09-18 23:59:59.999000064,66792.522425,346
2020-09-19,0.5222,0.5355,0.4701,0.4965,289514.57,2020-09-19 23:59:59.999000064,146868.739531,556
2020-09-20,0.4965,0.5355,0.4374,0.4524,146731.68,2020-09-20 23:59:59.999000064,70491.363751,447
2020-09-21,0.4498,0.4605,0.3206,0.3828,424260.23,2020-09-21 23:59:59.999000064,164813.586321,940
2020-09-22,0.3829,0.4189,0.363,0.3896,171039.69,2020-09-22 23:59:59.999000064,65566.078669,316
2020-09-23,0.3903,0.3903,0.331,0.3442,268957.45,2020-09-23 23:59:59.999000064,98171.730964,347
2020-09-24,0.3327,0.4015,0.33,0.3989,119056.91,2020-09-24 23:59:59.999000064,42188.633211,274
2020-09-25,0.4057,0.498,0.382,0.4821,116920.82,2020-09-25 23:59:59.999000064,49267.134861,297
2020-09-26,0.484,0.533,0.4501,0.533,59519.74,2020-09-26 23:59:59.999000064,27752.400007,206
2020-09-27,0.533,0.642,0.5015,0.6256,174178.84,2020-09-27 23:59:59.999000064,97458.967327,519
2020-09-28,0.6235,0.6499,0.5435,0.5435,192389.85,2020-09-28 23:59:59.999000064,114881.984158,491
2020-09-29,0.5464,0.5797,0.5055,0.5259,67799.63,2020-09-29 23:59:59.999000064,36803.040785,217
2020-09-30,0.5247,0.5247,0.4682,0.482,74985.58,2020-09-30 23:59:59.999000064,36654.159063,234
2020-10-01,0.4918,0.5564,0.4565,0.4773,108681.06,2020-10-01 23:59:59.999000064,54384.009051,389
2020-10-02,0.4707,0.4782,0.405,0.4597,66097.54,2020-10-02 23:59:59.999000064,28888.406779,244
2020-10-03,0.4587,0.5147,0.453,0.46,52567.72,2020-10-03 23:59:59.999000064,25225.924081,157
2020-10-04,0.4579,0.46,0.4336,0.4538,37936.08,2020-10-04 23:59:59.999000064,16924.141403,108
2020-10-05,0.4592,0.4698,0.4131,0.4139,43145.42,2020-10-05 23:59:59.999000064,18657.90973,92
2020-10-06,0.4082,0.4082,0.3512,0.3798,123275.09,2020-10-06 23:59:59.999000064,46788.935296,372
2020-10-07,0.3762,0.4334,0.3762,0.4323,164070.83,2020-10-07 23:59:59.999000064,67025.344064,457
2020-10-08,0.4372,0.4833,0.4038,0.4809,56041.4,2020-10-08 23:59:59.999000064,24166.955663,200
2020-10-09,0.475,0.5698,0.469,0.4831,153870.28,2020-10-09 23:59:59.999000064,78066.686267,506
